playerA,PlayerB,who_win,Aset1,Aset2,Aset3,Aset4,Aset5,Bset1,Bset2,Bset3,Bset4,Bset5,Exact Number of Sets,Total Points,First Game Winner,Sets Decided by Extra Points
345552,345553,0,11,11,12,-,-,7,9,10,-,-,3,60,0,1
345550,345551,1,3,10,8,-,-,11,12,11,-,-,3,55,1,1
345551,345553,1,5,8,9,-,-,11,11,11,-,-,3,55,1,0
345550,345552,1,9,11,12,5,6,11,5,10,11,11,5,91,1,1
345348,344199,0,13,12,11,-,-,11,10,3,-,-,3,60,0,2
343608,344199,0,15,12,13,11,-,13,14,11,7,-,4,96,0,3
344199,344682,1,8,7,11,9,-,11,11,8,11,-,4,76,1,0
344199,345347,1,2,8,4,-,-,11,11,11,-,-,3,47,1,0
343653,344199,0,8,11,11,11,-,11,9,7,4,-,4,72,1,0
344199,343802,1,11,13,6,7,2,6,11,11,11,11,5,89,0,1
344102,345232,0,9,13,7,11,11,11,11,11,5,5,5,94,1,1
344427,344426,0,11,11,10,4,11,8,8,12,11,7,5,93,0,1
345497,345423,1,11,9,6,10,-,7,11,11,12,-,4,77,0,1
345626,345243,1,2,3,11,9,-,11,11,7,11,-,4,65,1,0
343600,343949,1,6,11,7,11,9,11,6,11,9,11,5,92,1,0
345159,344428,1,5,8,6,-,-,11,11,11,-,-,3,52,1,0
345701,345702,1,11,11,7,6,5,8,4,11,11,11,5,85,0,0
345244,345226,0,14,15,11,-,-,12,13,6,-,-,3,71,0,2
345232,344428,1,6,11,10,11,9,11,8,12,9,11,5,98,1,1
343949,345159,0,9,11,9,11,11,11,9,11,8,4,5,94,1,0
345497,345702,1,11,4,8,6,-,6,11,11,11,-,4,68,0,0
345626,345226,1,9,7,6,-,-,11,11,11,-,-,3,55,1,0
344426,343600,0,9,16,11,11,-,11,14,7,7,-,4,86,1,1
344102,344427,1,10,7,11,11,3,12,11,8,9,11,5,93,1,1
345701,345423,1,4,7,7,-,-,11,11,11,-,-,3,51,1,0
345244,345243,0,10,11,11,11,-,12,9,5,8,-,4,77,1,1
344427,345232,0,12,11,11,-,-,10,7,9,-,-,3,60,0,1
343600,344102,0,11,11,9,11,-,7,6,11,5,-,4,71,0,0
345497,345701,0,11,12,12,11,-,8,14,10,6,-,4,84,0,2
345626,345244,1,9,9,11,8,-,11,11,9,11,-,4,79,1,0
345159,344426,1,12,8,4,8,-,10,11,11,11,-,4,75,0,1
344428,343949,1,7,10,8,-,-,11,12,11,-,-,3,59,1,1
345702,345423,1,12,11,13,9,4,14,9,11,11,11,5,105,1,2
345226,345243,0,6,5,11,11,11,11,11,3,5,8,5,82,1,0
345423,345497,1,13,11,8,8,-,15,8,11,11,-,4,85,1,1
345243,345626,1,11,7,7,9,-,6,11,11,11,-,4,73,0,0
345232,343949,0,11,8,11,11,13,7,11,13,8,11,5,104,0,2
344426,344428,0,11,10,11,8,11,9,12,7,11,8,5,98,0,1
345702,345701,0,11,11,11,11,-,9,13,9,2,-,4,77,0,1
345226,345244,0,7,11,16,13,-,11,8,14,11,-,4,91,1,2
344102,345159,0,11,11,6,11,-,4,4,11,3,-,4,61,0,0
344427,343600,1,9,12,7,5,-,11,10,11,11,-,4,76,1,1
345702,345497,1,11,9,9,8,-,6,11,11,11,-,4,76,0,0
345226,345626,0,11,10,11,11,-,9,12,9,6,-,4,79,0,1
343600,345232,0,10,11,11,11,-,12,7,8,7,-,4,77,1,1
345159,344427,1,11,10,9,11,6,9,12,11,6,11,5,96,0,1
345423,345701,0,11,11,11,-,-,7,9,7,-,-,3,56,0,0
345243,345244,1,9,9,12,-,-,11,11,14,-,-,3,66,1,1
344428,344102,0,6,11,9,11,11,11,5,11,6,7,5,88,1,0
343949,344426,1,9,12,8,-,-,11,14,11,-,-,3,65,1,1
345701,345497,0,11,11,11,-,-,9,5,4,-,-,3,51,0,0
345244,345626,0,11,11,6,11,-,7,7,11,8,-,4,72,0,0
345232,344426,1,10,7,10,-,-,12,11,12,-,-,3,62,1,2
344102,343949,0,12,9,11,14,-,10,11,6,12,-,4,85,0,2
345423,345702,0,11,11,5,13,-,4,7,11,11,-,4,73,0,1
345243,345226,1,15,7,11,12,9,13,11,13,10,11,5,112,0,3
344427,344428,0,11,11,11,-,-,7,7,9,-,-,3,56,0,0
343600,345159,1,18,7,5,12,4,16,11,11,10,11,5,105,0,2
345703,345339,1,10,11,6,11,7,12,8,11,8,11,5,95,1,1
345245,345228,0,3,11,12,13,11,11,8,14,11,5,5,99,1,2
345159,345232,0,8,7,11,11,11,11,11,4,5,8,5,87,1,0
344428,343600,1,6,8,12,3,-,11,11,10,11,-,4,72,1,1
345704,345705,1,4,3,11,16,6,11,11,5,14,11,5,92,1,1
345225,345229,1,11,11,2,7,11,5,9,11,11,13,5,91,0,1
343949,344427,1,9,11,8,9,-,11,8,11,11,-,4,78,1,0
344426,344102,0,5,8,11,11,13,11,11,2,5,11,5,88,1,1
345703,345705,0,11,11,11,-,-,6,8,8,-,-,3,55,0,0
345245,345229,1,6,9,11,7,-,11,11,8,11,-,4,74,1,0
345706,345348,1,11,8,8,11,9,8,11,11,1,11,5,89,0,0
