playerID,win_rate,average_max_points_in_a_row,average_service_points_lost,average_biggest_lead,average_receiver_points_won,average_service_points_won,average_service_error,average_comeback_loss,average_comeback_to_win,average_receiver_points_lost,average_points
292111,0.5427995971802618,1.4612286002014099,4.482376636455187,1.2910372608257805,4.599194360523666,4.900302114803625,0.07854984894259819,2.3735632183908044,2.446700507614213,4.745216515609265,9.499496475327291
292112,0.49502982107355864,1.2113982770046388,4.331345261762757,1.066931742876077,4.296222664015905,4.58051689860835,0.06626905235255136,2.353846153846154,2.4318181818181817,4.652087475149106,8.876739562624255
292113,0.5524193548387096,1.346774193548387,4.346774193548387,1.2379032258064515,4.588709677419355,4.943548387096774,0.004032258064516129,2.5652173913043477,2.204081632653061,4.729838709677419,9.53225806451613
292476,0.5613079019073569,0.7166212534059946,2.2970027247956404,0.6267029972752044,2.326975476839237,2.670299727520436,0.008174386920980926,2.59375,2.5128205128205128,2.561307901907357,4.997275204359673
343410,0.500561797752809,1.4151685393258426,4.356741573033708,1.2713483146067415,4.457865168539326,4.893258426966292,0.03539325842696629,2.4221556886227544,2.3636363636363638,4.7915730337078655,9.351123595505618
343419,0.6197183098591549,1.0140845070422535,2.7464788732394365,0.8732394366197183,3.0140845070422535,3.295774647887324,0.028169014084507043,2.3333333333333335,2.75,3.028169014084507,6.309859154929577
343421,0.46588235294117647,1.3158823529411765,4.424117647058823,1.1488235294117648,4.288823529411765,4.731764705882353,0.06352941176470588,2.4589665653495443,2.3411371237458196,4.942352941176471,9.020588235294118
343445,0.4508838017965807,1.3584468270066647,4.38800347725297,1.1831353230947552,4.184004636337294,4.8493190379600115,0.016227180527383367,2.5164670658682633,2.354621848739496,5.056215589684149,9.03593161402492
343448,0.42592592592592593,1.2592592592592593,4.518518518518518,0.9259259259259259,3.9074074074074074,4.7592592592592595,0.07407407407407407,2.1,2.5,5.462962962962963,8.666666666666666
343449,0.4942450914014895,1.3886255924170616,4.314827352742045,1.2417061611374407,4.381178063642519,4.806364251861882,0.021665538253215978,2.4906367041198503,2.4264150943396228,4.792146242383209,9.1875423155044
343452,0.44786729857819907,1.3068720379146919,4.561611374407583,1.1291469194312795,4.239336492890995,4.8246445497630335,0.013033175355450236,2.5304878048780486,2.496732026143791,5.154028436018957,9.063981042654028
343453,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
343455,0.2916666666666667,1.125,4.854166666666667,0.8958333333333334,3.5,4.041666666666667,0.0,2.2,1.4,5.395833333333333,7.541666666666667
343461,0.7808219178082192,1.5342465753424657,3.808219178082192,1.3835616438356164,4.890410958904109,5.589041095890411,0.0273972602739726,2.4444444444444446,2.7222222222222223,4.493150684931507,10.479452054794521
343473,0.4423897581792319,1.2816500711237553,4.51778093883357,1.0995732574679944,4.213371266002845,4.678520625889047,0.03982930298719772,2.514705882352941,2.354330708661417,4.998577524893315,8.891891891891891
343476,0.5532994923857868,1.4416243654822336,4.365482233502538,1.1878172588832487,4.49746192893401,5.2030456852791875,0.01015228426395939,2.342857142857143,2.72972972972973,5.035532994923858,9.700507614213198
343481,0.5408163265306123,1.2551020408163265,4.23469387755102,1.1020408163265305,4.418367346938775,5.377551020408164,0.02040816326530612,2.2941176470588234,2.65,5.1938775510204085,9.795918367346939
343482,0.5127860026917901,1.3903095558546434,4.387617765814267,1.2220726783310902,4.376850605652759,4.90578734858681,0.009421265141318977,2.576642335766423,2.331081081081081,4.835800807537012,9.282637954239569
343483,0.41818181818181815,1.309090909090909,4.8,0.8363636363636363,4.181818181818182,5.1454545454545455,0.01818181818181818,2.3076923076923075,4.111111111111111,5.6,9.327272727272728
343484,0.5269320843091335,1.3817330210772834,4.447014051522248,1.2488290398126465,4.58635831381733,4.969555035128805,0.03425058548009368,2.4539579967689824,2.460122699386503,4.8006440281030445,9.555913348946136
343485,0.47847378086104875,1.3609467455621302,4.5200979391960825,1.1944501122219955,4.422566823097327,4.844521526219139,0.023056519077739236,2.464818763326226,2.3968784838350055,4.951234441950622,9.267088349316467
343505,0.504950495049505,1.3762376237623761,4.425742574257426,1.2178217821782178,4.188118811881188,4.97029702970297,0.0594059405940594,3.0588235294117645,2.111111111111111,5.198019801980198,9.158415841584159
343508,0.4509283819628647,1.3183023872679045,4.350132625994695,1.143236074270557,4.106100795755968,5.018567639257294,0.03713527851458886,2.311688311688312,2.3870967741935485,5.209549071618037,9.124668435013263
343512,0.5384615384615384,1.3846153846153846,4.3076923076923075,1.3461538461538463,4.673076923076923,5.153846153846154,0.0,2.727272727272727,2.6,4.75,9.826923076923077
343516,0.5650438946528332,1.4509177972865124,4.0877893056664005,1.3144453312051076,4.437350359138069,4.979249800478851,0.02713487629688747,2.3175355450236967,2.3524590163934427,4.5666400638467675,9.41660015961692
343517,0.5,1.3958333333333333,4.645833333333333,1.1666666666666667,4.395833333333333,4.895833333333333,0.10416666666666667,2.2222222222222223,3.25,5.104166666666667,9.291666666666666
343518,0.4482758620689655,1.206896551724138,4.655172413793103,0.9655172413793104,4.172413793103448,4.517241379310345,0.06896551724137931,1.5,2.3333333333333335,4.931034482758621,8.689655172413794
343521,0.50199203187251,1.254980079681275,4.318725099601593,1.1713147410358566,4.243027888446215,5.211155378486056,0.02390438247011952,2.276595744680851,2.488888888888889,5.187250996015936,9.45418326693227
343523,0.45734265734265733,1.2853146853146853,4.486713286713287,1.0377622377622377,4.20979020979021,4.862937062937063,0.04055944055944056,2.2937062937062938,2.515151515151515,5.20979020979021,9.072727272727272
